1/A	2/B	3/C	4/D	F/1	F/2	F/3	F/4
1/B	2/C	3/D	4/A	F/1	F/2	F/3	F/4
1/C	2/D	3/A	4/B	F/1	F/2	F/3	F/4
1/D	2/A	3/B	4/C	F/1	F/2	F/3	F/4
